,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,great,bad,love,bad,great,bad,love,bad,great,bad,love,bad,love,bad,love,bad,love,bad,love,bad,love,bad,good,bad,love,bad,great,bad,love,bad,love,bad,love,bad,love,bad,great,bad,great,bad,great,bad,great,bad,love,bad,great,bad,love,bad,great,bad,great,bad,great,bad,small,bad,great,bad
,love,wrong,great,wrong,love,wrong,great,wrong,love,wrong,great,wrong,great,wrong,great,wrong,great,annoi,great,terribl,great,disappoint,great,wrong,great,disappoint,love,wrong,great,wrong,great,wrong,great,disappoint,recommend,wrong,love,annoi,love,disappoint,love,wrong,love,wrong,great,wrong,good,wrong,great,wrong,love,wrong,love,disappoint,love,wrong,great,annoi,love,wrong
,easi,disappoint,remot,annoi,good,annoi,small,annoi,recommend,annoi,good,disappoint,nice,disappoint,soft,disappoint,easi,wrong,good,wrong,good,wrong,love,disappoint,good,wrong,recommend,disappoint,good,annoi,good,disappoint,recommend,wrong,great,annoi,recommend,wrong,recommend,poor,recommend,annoi,recommend,annoi,big,disappoint,recommend,annoi,comfort,annoi,easi,poor,easi,wrong,good,disappoint,easi,wrong,recommend,disappoint
,good,poor,warm,worst,nice,disappoint,good,worst,good,disappoint,recommend,poor,recommend,annoi,nice,annoi,recommend,disappoint,recommend,disappoint,recommend,annoi,recommend,annoi,safe,poor,low,poor,recommend,neg,sore,annoi,good,annoi,nice,disappoint,extra,poor,good,wrong,happi,poor,good,poor,recommend,annoi,love,poor,recommend,poor,recommend,annoi,mobil,annoi,recommend,annoi,love,disappoint,good,terribl
,nice,terribl,good,terribl,recommend,poor,nice,disappoint,nice,terribl,soft,annoi,good,neg,recommend,poor,good,poor,nice,annoi,nice,wast,worth,poor,recommend,annoi,happi,annoi,nice,poor,comfort,neg,happi,poor,worth,poor,easi,worst,dirti,annoi,nice,disappoint,happi,worst,small,poor,nice,disappoint,small,neg,warm,wast,recommend,poor,perfect,worst,good,neg,comfort,neg
,small,annoi,white,poor,comfort,neg,easi,poor,flimsi,upset,happi,upset,worth,worst,comfort,worst,high,worst,enjoi,worst,happi,poor,enjoi,terribl,high,neg,good,upset,comfort,disappoint,recommend,poor,comfort,worst,good,worst,comfort,disappoint,comfort,neg,good,worst,worth,neg,good,upset,easi,neg,easi,worst,nice,disappoint,good,worst,comfort,neg,recommend,terribl,happi,worst
,recommend,worst,recommend,disappoint,happi,worst,big,terribl,big,worst,comfort,worst,larg,poor,happi,terribl,nice,terribl,happi,poor,comfort,neg,comfort,worst,nice,terribl,comfort,terribl,happi,worst,easi,terribl,enjoi,terribl,happi,upset,nice,neg,simpl,worst,comfort,terribl,comfort,disappoint,easi,complain,short,worst,sturdi,terribl,good,worst,happi,neg,worth,poor,larg,worst,worth,annoi
,hard,hate,nice,neg,worth,terribl,high,complain,happi,poor,nice,terribl,happi,terribl,good,neg,comfort,neg,comfort,neg,perfect,worst,happi,neg,regular,worst,worth,worst,enjoi,terribl,hard,worst,perfect,neg,comfort,terribl,good,terribl,easi,terribl,worth,upset,enjoi,terribl,nice,worst,cute,terribl,larg,disappoint,comfort,upset,perfect,terribl,small,terribl,hard,poor,perfect,poor
,happi,upset,perfect,hate,perfect,complain,sturdi,neg,perfect,neg,pregnant,complain,perfect,hate,enjoi,upset,happi,upset,worth,upset,worth,upset,nice,hate,easi,complain,nice,neg,worth,upset,perfect,complain,nice,complain,enjoi,neg,enjoi,nasti,full,complain,glad,neg,nice,upset,newborn,terribl,bright,wast,larger,upset,easier,hate,nice,complain,nice,upset,comfort,upset,enjoi,wast
,perfect,neg,comfort,complain,excel,regret,comfort,upset,comfort,hate,worth,neg,enjoi,complain,perfect,hate,perfect,complain,perfect,regret,amaz,terribl,perfect,upset,extra,upset,excel,wast,perfect,hate,electr,upset,worth,upset,perfect,complain,happi,complain,readi,upset,perfect,wast,perfect,complain,easier,hate,fine,upset,perfect,complain,big,terribl,comfort,upset,happi,complain,nice,hate,glad,upset
