,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,great,bad,good,bad,natur,disappoint,strong,bad,lush,bad,great,bad,great,bad,great,bad,great,bad,dry,bad,clean,bad,great,bad,great,bad,great,bad,great,bad,great,bad,great,bad,big,bad,great,bad,great,bad,good,bad,great,bad,great,bad,great,bad,white,bad,dry,bad,soft,bad,great,bad,lush,bad,great,bad
,perfect,disappoint,great,disappoint,great,bad,great,disappoint,clean,disappoint,good,disappoint,dry,disappoint,dark,disappoint,strong,disappoint,great,terribl,fresh,disappoint,good,disappoint,perfect,wrong,good,disappoint,dry,disappoint,good,disappoint,good,disappoint,good,disappoint,good,disappoint,nice,disappoint,great,disappoint,clean,terribl,good,disappoint,sweet,disappoint,good,disappoint,easi,disappoint,dry,wrong,good,disappoint,great,disappoint,good,disappoint
,amaz,terribl,light,wrong,soft,worst,good,terribl,great,wrong,nice,wrong,oili,wrong,brown,terribl,light,worst,good,disappoint,long,terribl,amaz,wrong,good,disappoint,nice,wrong,good,wrong,free,wrong,nice,wrong,dark,wrong,nice,wrong,good,terribl,dry,wrong,sensit,disappoint,clean,neg,good,terribl,fresh,terribl,great,terribl,great,disappoint,perfect,wrong,good,wrong,amaz,wrong
,black,wrong,cute,worst,good,wrong,nice,worst,fresh,terribl,perfect,terribl,sensit,terribl,good,wrong,good,wrong,soft,wrong,good,wrong,nice,terribl,amaz,terribl,perfect,terribl,amaz,worst,nice,terribl,heavi,worst,great,worst,amaz,terribl,worth,nasti,nice,terribl,good,wrong,natur,wrong,long,worst,great,wrong,thick,wrong,good,worst,nice,terribl,warm,terribl,nice,terribl
,good,worst,nice,terribl,long,nasti,perfect,wrong,good,hate,amaz,nasti,facial,worst,black,annoi,fresh,terribl,thick,neg,nice,worst,perfect,annoi,impress,hate,bare,neg,long,neg,amaz,nasti,amaz,terribl,liquid,terribl,perfect,worst,perfect,wrong,small,nasti,nice,nasti,nice,terribl,fresh,wrong,happi,neg,good,neg,smooth,terribl,amaz,worst,nice,neg,perfect,neg
,small,poor,expens,nasti,smooth,neg,amaz,nasti,nice,nasti,awesom,poor,good,neg,perfect,nasti,nice,nasti,long,nasti,great,annoi,worth,neg,nice,neg,amaz,annoi,hot,terribl,perfect,annoi,regular,hate,nice,nasti,awesom,nasti,favorit,worst,clean,neg,long,worst,amaz,nasti,light,neg,enjoi,nasti,expens,annoi,light,neg,tini,nasti,perfect,nasti,worth,annoi
,nice,regret,hard,neg,dry,terribl,happi,poor,sweet,worst,worth,annoi,soft,poor,light,worthless,clean,hate,small,worst,light,hate,favorit,hate,worth,worst,favorit,poor,nice,poor,worth,neg,light,neg,sticki,annoi,favorit,hate,amaz,regret,amaz,wast,young,annoi,long,worst,dry,nasti,oili,worst,nice,worst,hot,annoi,worth,annoi,awesom,annoi,awesom,worst
,cute,hate,long,annoi,expens,poor,favorit,neg,soft,poor,fantast,worst,smooth,nasti,soft,neg,floral,annoi,nice,annoi,dry,neg,happi,worst,fantast,nasti,heavi,nasti,soft,nasti,long,complain,perfect,nasti,dramat,neg,worth,wast,happi,annoi,cheap,worst,perfect,neg,fine,annoi,free,annoi,delici,annoi,natur,poor,nice,hate,favorit,neg,solid,worst,favorit,nasti
,super,complain,cheap,hate,healthi,regret,awesom,hate,delici,neg,happi,neg,amaz,wast,fair,worst,sweet,wast,shini,regret,high,complain,awesom,regret,awesom,annoi,sweet,worst,worth,hate,mild,worst,full,annoi,perfect,wast,impress,annoi,excel,wast,black,regret,strong,hate,perfect,hate,strong,hate,favorit,hate,perfect,nasti,heavi,regret,happi,regret,essenti,poor,happi,wast
,smooth,wast,worth,poor,thick,annoi,worth,upset,strong,wast,favorit,wast,bare,hate,subtl,poor,dark,neg,frizzi,wast,sensit,regret,fantast,poor,happi,wast,awesom,complain,perfect,annoi,dry,hate,thick,poor,delici,poor,fantast,poor,strong,poor,high,annoi,amaz,troubl,worth,wast,perfect,upset,amaz,poor,dark,regret,fine,nasti,fantast,poor,enjoi,upset,enjoi,poor
