,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,great,bad,great,bad,great,wrong,great,bad,great,bad,great,bad,good,bad,great,bad,great,bad,great,bad,good,bad,good,bad,good,bad,good,bad,great,bad,great,bad,great,bad,digit,bad,soni,bad,great,bad,great,wrong,great,bad,great,bad,perfect,bad,great,bad,good,bad,good,bad,great,bad,good,bad,great,bad
,good,wrong,good,poor,good,bad,good,wrong,good,wrong,good,wrong,great,wrong,easi,disappoint,good,wrong,good,poor,great,wrong,great,wrong,great,poor,great,wrong,good,wrong,perfect,wrong,good,wrong,great,annoi,good,wrong,good,wrong,nice,bad,good,wrong,good,wrong,great,poor,good,poor,great,wrong,great,wrong,cute,wrong,great,wrong,good,wrong
,excel,poor,perfect,wrong,nice,poor,excel,poor,excel,poor,nice,poor,perfect,annoi,good,wrong,nice,poor,nice,wrong,perfect,poor,perfect,poor,nice,wrong,happi,poor,nice,poor,good,poor,nice,poor,good,wrong,great,poor,nice,poor,good,poor,perfect,poor,digit,poor,good,wrong,extra,wrong,perfect,poor,nice,poor,nice,poor,perfect,poor,small,terribl
,nice,annoi,excel,annoi,excel,annoi,nice,annoi,nice,annoi,excel,annoi,nice,poor,other,poor,perfect,annoi,perfect,annoi,excel,annoi,excel,annoi,perfect,annoi,perfect,annoi,excel,annoi,happi,annoi,happi,annoi,other,poor,compat,annoi,perfect,annoi,excel,annoi,nice,annoi,easi,annoi,nice,annoi,worth,annoi,excel,annoi,awesom,annoi,perfect,annoi,nice,annoi,digit,disappoint
,perfect,neg,nice,worst,perfect,terribl,best,terribl,perfect,disappoint,happi,terribl,excel,terribl,digit,neg,excel,disappoint,excel,terribl,happi,neg,nice,disappoint,excel,terribl,excel,neg,perfect,neg,amaz,neg,excel,disappoint,new,disappoint,perfect,disappoint,excel,disappoint,perfect,disappoint,excel,disappoint,other,neg,excel,worst,perfect,terribl,happi,disappoint,perfect,disappoint,good,disappoint,excel,disappoint,other,poor
,happi,terribl,impress,neg,happi,disappoint,perfect,disappoint,happi,neg,perfect,disappoint,happi,disappoint,best,annoi,happi,terribl,worth,disappoint,nice,disappoint,amaz,neg,happi,disappoint,nice,terribl,happi,disappoint,excel,terribl,perfect,terribl,more,neg,nice,neg,happi,worst,happi,neg,happi,neg,more,disappoint,happi,disappoint,nice,disappoint,nice,neg,happi,terribl,amaz,neg,happi,terribl,easi,annoi
,worth,disappoint,amaz,terribl,amaz,neg,comfort,worst,amaz,terribl,awesom,worst,amaz,worst,nice,worst,amaz,neg,happi,neg,awesom,worst,happi,terribl,amaz,neg,awesom,disappoint,amaz,terribl,nice,disappoint,worth,neg,littl,terribl,excel,worst,amaz,terribl,amaz,terribl,worth,terribl,mani,worst,comfort,terribl,excel,neg,amaz,terribl,excel,neg,happi,terribl,awesom,worst,better,neg
,amaz,worst,happi,disappoint,awesom,worst,amaz,neg,worth,worst,amaz,neg,awesom,neg,excel,terribl,worth,worst,awesom,worst,amaz,terribl,awesom,worst,awesom,worst,worth,worst,awesom,worst,worth,worst,amaz,worst,easi,worst,awesom,terribl,impress,neg,comfort,worst,amaz,worst,first,terribl,amaz,neg,cheap,worst,awesom,worst,amaz,worst,excel,worst,amaz,neg,low,worst
,impress,worthless,worth,worthless,worth,worthless,happi,unaccept,awesom,worthless,fantast,worthless,worth,worthless,happi,worthless,awesom,worthless,amaz,upset,fantast,unaccept,worth,worthless,worth,unaccept,amaz,worthless,worth,worthless,awesom,worthless,impress,upset,better,upset,worth,worthless,worth,unaccept,satisfi,worthless,awesom,worthless,small,unaccept,posit,worthless,happi,upset,impress,worthless,impress,unaccept,right,upset,impress,worthless,nice,unaccept
,satisfi,unaccept,awesom,unaccept,impress,upset,main,upset,impress,unaccept,impress,inferior,impress,unaccept,old,unaccept,impress,unaccept,fantast,worthless,impress,inferior,impress,nasti,impress,worthless,digit,unaccept,impress,unaccept,fantast,unaccept,fantast,unaccept,onli,unaccept,happi,unaccept,fantast,worthless,worth,unaccept,satisfi,upset,low,worthless,worth,inferior,amaz,worthless,worth,unaccept,worth,worthless,worth,worthless,satisfi,unaccept,best,worthless
,awesom,inferior,recommend,inferior,fantast,inferior,awesom,worthless,fantast,upset,worth,unaccept,fantast,upset,new,upset,fantast,upset,impress,unaccept,worth,worthless,fantast,unaccept,satisfi,upset,impress,upset,fantast,upset,impress,upset,awesom,worthless,nice,worthless,fantast,inferior,satisfi,inferior,awesom,nasti,impress,unaccept,better,nasti,awesom,upset,few,inferior,satisfi,upset,fantast,nasti,impress,unaccept,worth,upset,littl,upset
