,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,great,bad,good,annoi,great,bad,great,poor,great,worst,great,bad,great,bad,good,poor,good,bad,great,worst,great,poor,great,bad,good,bad,good,worst,good,wrong,good,bad,great,bad,great,terribl,great,bad,great,bad,great,bad,good,worst,love,bad,great,bad,good,bad,good,annoi,good,problem,great,bad,good,bad,good,annoi
,happi,wrong,nice,worst,good,terribl,good,wrong,good,bad,good,disappoint,nice,annoi,great,bad,great,worst,good,poor,good,disappoint,happi,terribl,great,annoi,great,problem,great,terribl,great,terribl,nice,poor,happi,bad,good,worst,recommend,terribl,good,annoi,great,disappoint,great,disappoint,nice,annoi,great,wrong,nice,bad,great,poor,good,annoi,excel,worst,great,bad
,good,disappoint,happi,wrong,love,wrong,nice,bad,nice,complain,excel,complain,excel,wrong,perfect,problem,nice,terribl,recommend,terribl,happi,wast,good,wrong,excel,poor,nice,disappoint,nice,poor,nice,poor,good,annoi,good,wrong,nice,terribl,comfort,disappoint,recommend,poor,excel,wrong,good,problem,perfect,poor,love,terribl,great,terribl,love,disappoint,love,poor,comfort,terribl,nice,wrong
,nice,complain,great,complain,happi,worst,happi,wast,excel,disappoint,nice,terribl,good,disappoint,comfort,nasti,perfect,disappoint,happi,complain,nice,bad,nice,nasti,perfect,terribl,recommend,poor,love,worst,happi,wrong,recommend,disappoint,excel,wast,happi,complain,perfect,problem,love,wrong,recommend,poor,comfort,wast,excel,wrong,nice,disappoint,happi,disappoint,nice,annoi,recommend,worst,recommend,poor,love,terribl
,amaz,poor,worth,poor,nice,worthless,excel,disappoint,recommend,worthless,comfort,wrong,correct,terribl,recommend,wast,posit,complain,excel,disappoint,excel,wrong,love,unaccept,recommend,wast,worth,complain,worth,junk,love,worthless,comfort,terribl,love,complain,impress,poor,love,hate,worth,terribl,comfort,annoi,nice,complain,good,worst,comfort,neg,recommend,poor,amaz,bad,excel,wrong,perfect,complain,impress,worthless
,worth,inferior,excel,disappoint,excel,nasti,perfect,complain,love,hate,love,nasti,perfect,hate,awesom,terribl,impress,unaccept,comfort,neg,recommend,annoi,comfort,worst,superior,complain,happi,bad,comfort,mess,comfort,nasti,impress,regret,perfect,worthless,recommend,annoi,good,worthless,satisfi,disappoint,correct,worthless,happi,terribl,comfort,terribl,excel,poor,excel,complain,recommend,worst,comfort,terribl,enjoi,wrong,comfort,complain
,awesom,worst,awesom,terribl,impress,unaccept,awesom,nasti,perfect,inferior,glad,troubl,worth,junk,posit,mess,comfort,inferior,love,junk,love,upset,fantast,complain,glad,neg,satisfi,neg,recommend,bad,recommend,neg,fantast,junk,worth,worst,perfect,disappoint,enjoi,inferior,happi,problem,impress,terribl,glad,neg,recommend,wast,amaz,junk,posit,problem,favorit,complain,impress,disappoint,fantast,hate,perfect,disappoint
,superior,regret,perfect,junk,posit,problem,recommend,annoi,comfort,nasti,awesom,mess,recommend,troubl,amaz,disappoint,attract,junk,nice,problem,comfort,problem,attract,annoi,amaz,unaccept,fun,wrong,correct,disappoint,impress,hate,fun,mess,comfort,hate,comfort,wast,glad,annoi,perfect,inferior,love,complain,enjoi,worst,correct,hate,perfect,worst,fortun,junk,perfect,junk,worth,worthless,fun,junk,attract,neg
,love,mess,satisfi,troubl,correct,hate,favorit,junk,posit,annoi,superior,wast,amaz,neg,happi,wrong,glad,worthless,enjoi,upset,impress,inferior,posit,poor,happi,disappoint,excel,unaccept,fortun,regret,awesom,worst,posit,troubl,satisfi,disappoint,worth,neg,impress,worst,amaz,regret,posit,complaint,fun,wrong,glad,disappoint,impress,problem,fantast,inferior,awesom,regret,correct,regret,great,nasti,worth,worst
,satisfi,annoi,favorit,mess,fantast,annoi,love,hate,fantast,junk,fortun,junk,satisfi,complain,fortun,unaccept,superior,regret,correct,hate,attract,junk,glad,mess,awesom,wrong,attract,inferior,excel,annoi,fantast,disappoint,superior,complain,nice,annoi,enjoi,hate,satisfi,neg,impress,mess,awesom,wast,posit,junk,impress,inferior,satisfi,wast,attract,troubl,impress,troubl,happi,problem,satisfi,annoi,awesom,unaccept
