,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,love,wrong,great,bad,good,bad,great,bad,other,bad,love,bad,wonder,bad,great,free,good,bad,great,other,great,wont,good,bad,love,bad,good,bad,love,bad,love,jason,good,christma,good,bad,good,final,great,bad,great,bad,love,other,great,bad,good,bad,great,british,great,free,great,bad,good,sattelit,great,big,love,bad
,good,poor,love,nude,great,cannib,good,mont,love,other,good,worst,enjoi,best,love,bad,best,wrong,other,new,good,poor,love,monti,good,stupid,great,huge,great,funni,great,bad,great,same,great,poor,love,last,love,wrong,good,funni,other,dead,good,wrong,great,horribl,best,zulu,good,bad,favorit,fat,great,worst,best,bad,great,disappoint
,beauti,disappoint,onli,wrong,pink,disappoint,awesom,poor,good,first,great,poor,love,other,good,first,amaz,disappoint,good,mani,love,wrong,excel,annoi,great,worst,excel,free,best,wrong,good,new,love,dane,best,wrong,great,bad,best,medic,love,disappoint,great,evil,love,michael,first,first,good,wrong,frank,wrong,more,ugli,funni,fair,good,littl,favorit,littl
,quot,bad,mani,disappoint,enjoi,poor,love,disappoint,own,mani,best,wrong,best,wrong,vampir,complet,great,poor,mani,french,western,worst,recommend,madelin,new,wrong,favorit,worst,funni,disappoint,enjoi,other,best,disappoint,enjoi,paula,enjoi,differ,good,poor,funni,cambridg,more,wrong,excel,poor,love,worst,greatest,bad,brown,better,love,more,enjoi,most,young,new,littl,worst
,great,worst,comprehens,worst,recommend,terribl,excel,jason,first,wrong,mad,disappoint,great,more,fun,typic,enjoi,worst,first,bad,enjoi,wast,enjoi,wrong,nice,wast,new,terribl,other,other,first,first,perfect,harm,fun,wast,fun,whole,wonder,disappoint,favorit,poor,mani,bad,bruce,new,best,wrong,amaz,dont,fun,disappoint,mani,full,abl,larg,love,first,good,more
,favorit,other,polit,poor,best,better,enjoi,wrong,young,more,enjoi,best,recommend,mani,enjoi,inform,favorit,annoi,such,real,favorit,bad,other,disappoint,funni,bore,love,poor,wonder,best,old,old,brilliant,bad,littl,disappoint,special,complet,favorit,sleazi,best,best,young,charli,martial,best,mani,aw,other,charli,clean,same,best,brit,low,bad,beauti,best,old,ash
,other,more,good,more,classic,worst,fun,terribl,great,new,funni,terribl,good,wast,best,worst,recommend,best,new,first,fun,disappoint,amaz,other,mani,big,free,wrong,good,true,other,interest,recommend,best,perfect,worst,littl,full,perfect,worst,old,terribl,best,more,recommend,other,enjoi,real,first,wast,free,youtub,enjoi,wast,more,troubl,more,more,wonder,wrong
,more,neg,outstand,mani,love,phil,recommend,better,mani,most,slim,funni,mani,troubl,free,best,nice,wast,enjoi,wrong,avail,nasti,more,poor,favorit,new,mani,local,sad,better,abl,mani,old,uncensor,mani,other,jame,dissapoint,worth,best,excel,wast,good,mani,new,terribl,recommend,terribl,black,eric,funni,problem,good,barbar,love,develop,littl,poor,recommend,sorri
,recommend,annoi,more,charli,interest,interest,best,neg,more,full,recommend,closeau,excel,courtnei,favorit,disappoint,fun,elwood,best,more,recommend,better,great,creepi,fun,first,other,classic,fun,worst,last,wrong,first,mani,nice,neg,best,disappoint,enjoi,unlik,whole,better,old,doubl,other,real,other,mani,earli,best,better,poor,cool,wraith,other,onli,own,white,mani,terribl
,excel,problem,origin,onli,excel,other,mani,wast,best,poor,favorit,babe,more,poor,first,terribl,stargat,terribl,young,same,happi,neg,onli,flat,excel,real,wonder,first,favorit,thin,mani,digit,origin,wrong,classic,terribl,old,live,recommend,other,fun,neg,such,real,best,better,real,other,hard,worst,offici,first,free,sure,fun,funni,old,disappoint,first,other
,wonder,erot,enjoi,annoi,nice,best,slow,best,new,best,excel,neg,other,better,recommend,better,excel,troubl,real,most,best,western,best,terribl,littl,funni,first,more,true,annoi,fun,terribl,interest,poor,favorit,best,whole,dwnld,other,main,perfect,worst,funni,red,fun,possibl,worth,onli,littl,other,worth,worst,dead,better,same,sure,mani,other,other,interest
,enjoi,beauti,japanes,christma,fun,wrong,worth,annoi,beauti,few,special,better,new,disappoint,classic,wast,further,myrtl,more,interest,individu,terribl,interest,reminisc,other,terribl,more,other,recommend,first,new,disappoint,same,origin,other,dumb,excel,special,amaz,annoi,real,other,same,few,mani,atom,fun,best,hollywood,special,love,funni,light,digit,first,wast,big,black,best,wast
,young,sexi,entir,new,other,classic,scoobi,mani,human,own,amaz,real,better,neg,other,neg,interest,problem,old,such,better,avail,favorit,mechan,first,interest,perfect,last,better,terribl,timelord,blah,mani,dumb,real,mani,favorit,littl,excel,danni,hilari,problem,first,same,edward,disappoint,excel,better,incred,poor,nice,new,individu,poor,worth,averag,first,differ,enjoi,mani
,sad,wast,special,terribl,better,zoom,favorit,mami,real,real,beauti,mani,origin,terribl,glad,other,love,interest,special,gai,less,annoi,funni,neg,enjoi,disappoint,old,better,whole,poor,few,author,littl,dead,french,troubl,welcom,worst,terrif,big,enjoi,troubl,real,big,robert,jewish,origin,same,histor,mani,few,few,particular,ridicul,favorit,other,excel,own,more,first
,fun,new,second,better,old,sure,few,first,old,same,mani,upset,nice,few,worth,wrong,most,miett,interest,old,nice,problem,new,wast,own,montag,origin,major,kim,wast,amaz,dead,impress,other,superb,french,eric,poor,real,better,first,annoi,most,most,more,evil,beauti,most,excel,most,drunk,reformatori,perfect,phenomen,better,problem,other,mani,funni,cute
,happi,littl,unexpect,neg,overal,anamorph,better,problem,most,worst,wonder,first,quot,stilt,happi,poor,onli,neg,same,littl,amaz,troubl,differ,silli,whole,sweet,worth,disappoint,littl,mani,interest,troubl,excel,first,smart,annoi,comic,judd,mani,slimi,cute,first,recommend,first,brilliant,radioact,most,poor,few,first,extra,last,other,hook,onli,better,new,wrong,nice,better
